Value,Category,Question
$600 ,HISTORIC HISTORIANS,"William Prescott's 2 big tales of the Conquistadors were about ""The Conquest of Peru"" & ""The Conquest of"" this country"
$200 ,THE MASK OF ZORRO,The film is set in this country's state of Alta California
$400 ,FAMOUS RECOUNTS,In 2006 this country was embroiled in intrigue as Lopez Obrador & Calderon sweated a recount
$200 ,THEIR COUNTRY'S LAST MONARCH,Maximilian
$600 ,WORLD FACTS,The magnificent ruins of the Mayan city of Palenque were discovered in this country in 1773
$400 ,THE LAKE COUNTRY,"Lake Chapala, Lake Patzcuaro"
$400 ,COUNTRY BY BEER,Dos Equis
"$1,000 ",CHEER LEADERS,Felipe Calderon received the NAFTA Congressional Leadership Award before becoming president of this country
"$1,000 ",WORLD WAR I,"The famous Zimmerman Note was sent to Heinrich von Eckhardt, the German minister in this country"
$800 ,COUNTRIES' HIGHEST POINTS,Citlaltepetl on the border of the states of Veracruz & Puebla
$400 ,FACTS & FIGURES,"Almost 10% of the U.S. population in 1996 was foreign born, with the greatest number, 6.7 million, from this country"
$200 ,LAKES & RIVERS,"This country's largest lake, Chapala, is located near the city of Guadalajara"
$100 ,COUNTRIES BY REGION,"Oaxaca, Durango, Nayarit"
"$1,200 ",FDR,"(<a href=""http://www.j-archive.com/media/2006-10-10_DJ_08.jpg"" target=""_blank"">Cheryl of the Clue Crew reports from the FDR Presidential Library.</a>)  FDR collected <a href=""http://www.j-archive.com/media/2006-10-10_DJ_08a.jpg"" target=""_blank"">these</a> watercolors of the naval battles with this country in 1846-47"
$100 ,THE 1840s,"In 1846, about 4,000 U.S. soldiers were posted on alert near this North American country"
$600 ,THE LAST EMPEROR,Maximilian
$400 ,FOREIGN STATES,Jalisco & Tabasco
$400 ,FORBES' RICHEST PEOPLE,"Worth $53.5 billion, Carlos Slim, owner of Telmex, became the first person from this country to top the Forbes list"
$400 ,AT A LOW POINT,"Fittingly, this country's lowest point is in Baja, or lower, California"
$800 ,WHERE IN THE WORLD IS YOUR HQ?,Grupo Modelo
$600 ,COUNTRIES BY NEWSPAPER,Tabasco Hoy
"$2,000 ",FIRST THINGS FIRST,In March 1825 Joel R. Poinsett was confirmed as the first U.S. minister to this country
"$2,000 ",THE COUNTRY'S NATIONAL HOLIDAY,September 16: Celebrating the Grito de Dolores
"$1,200 ",NATIONAL GEOGRAPHIC CHANNEL GREAT MIGRATIONS,"It will take 5 months and 3 generations of butterflies to reach Canada--a <a href=""http://www.j-archive.com/media/2010-11-05_DJ_28.wmv"">journey</a> they're starting in this warmer country"
$200 ,DECORATIVE ARTS,"The Tarasco Indians, who live in this country's state of Michoacan, are noted for their pottery & weaving"
"$1,000 ","CANADA, MEXICO OR THE U.S.",Ruled by an emperor from 1864 to 1867
$200 ,IN COUNTRY,"Tampico, Oaxaca, Mazatlan"
$400 ,COUNTRIES' MEDALS & DECORATIONS,Order of the Aztec Eagle
$800 ,OF THE WORLD,"This Western Hemisphere nation is home to 100 million souls, one-fifth of them in its capital city"
$600 ,WORLD TRAVEL,"The Mayan ruins of <a href=""http://www.j-archive.com/media/2007-05-18_J_03.jpg"" target=""_blank"">Tulum</a> loom over the Caribbean in this country"
$400 ,"CANADA, MEXICO OR THE U.S.",It's 90% Catholic
$200 ,SOUNDS LIKE A PLAN,Zapata's Plan of Ayala called for redistribution of land to indigenous people in this country
"$1,000 ",THE WHALING WALLS,"You can see a mural of Keiko in the adventure park in this country where the desire to ""Free Willy"" began"
"$6,000 ",POLK-ER,"Polk sent John Slidell to offer this country about 30 million bucks for some territory, but he was rebuffed"
$400 ,THEY'RE IN CHARGE,Latin American president Ernesto Zedillo
"$1,000 ",SERGEI EISENSTEIN CINEMA,"Sponsored by Upton Sinclair, Eisenstein set out to film ""Que Viva"" this country"
$600 ,"KANSAS CITY, KANSAS HERE WE COME","KCK's sister cities are Linz, Austria; Karlovac, Croatia & Uruapan in this country's state of Michoacan"
$800 ,ANCIENT TIMES,The Zapotec Empire in what is now this country developed one of the first written texts in Middle America
$400 ,ALL I WANT FOR ISTHMUS,This country's states of Chiapas & Tabasco are connected to Oaxaca & Veracruz by the Isthmus of Tehuantepec
$200 ,WORLD GEOGRAPHY,The Colorado River provides much of the border between this country's Baja California Norte & Sonora
$400 ,CONTEMPORARY WOMEN AUTHORS,"Laura Esquivel's ""Like Water For Chocolate"" takes place in this country"
"$1,200 ",10-12 YEARS,"After Hidalgo's rebellion in 1810, this western hemisphere country fought 11 years for independence"
$600 ,CAN'T QUITE PLACE YOU,"Carlos Fuentes, author of ""The Old Gringo"", is one of this country's leading novelists"
$100 ,FOREIGN STATES,"Puebla, Zacatecas & Jalisco"
$300 ,WORLD HISTORY,"Long the ruling party in this country, the PRI won the 1988 election by its lowest margin ever"
$200 ,PLANTS,Vanilla has been cultivated in this North American country for hundreds of years
"$1,000 ",NATIONAL INQUIRER,"Former President Ernesto Zedillo of this nation was a member of its PRI, Partido Revolucionario Institucional"
$600 ,GOODBYE TO 1997,Jesse Helms blocked William Weld's appointment as ambassador to this country
$600 ,AROUND THE WORLD,"I'll be doggone, the Chihuahua Desert is in this neighbor of the U.S."
$200 ,COUNTRIES BY NEWSPAPER,"El Sol de Tehuacan, The Acapulco Times"
$400 ,ARTY FACTS,"The art of murals was revived by Diego Rivera, Jose Clemente Orozco & David Alfaro Siqueiros of this country"
$400 ,OTHER CIVIL WARS,Benito Juarez emerged from the War of Reform as a principal influence in this country's politics
$200 ,JOHN PAUL,John Paul II's first foreign papal trip took him to the shrine of the Virgin of Guadalupe in this country
$400 ,OLD CITIES,"If you're going to see the ancient site of Cacaxtla or Teotihuacan, you'll have to visit this country"
$100 ,WORLD OF BEERS,Tecate
$200 ,QUAKES,In December 2000 this country felt several small quakes around Popocatepetl
$400 ,INDEPENDENCE DAY,This country celebrates Cinco de Mayo on May 5 & its independence on September 16
$600 ,THE LARGEST IN AREA,"Malta, Mexico, Mongolia"
$100 ,INTERNATIONAL FOOD & DRINK,Bizcochitos are wine-laced cookies from this North American country
"$1,600 ",SILVER,This Western Hemisphere country is the world's largest producer of silver
$200 ,X MARKS THE SPOT,Lake Xochimilco in this North American country is only inches deep
$200 ,TAKE A HIKE,There's good hiking at several stops on this country's mountainous Chihuahua al Pacifico train
$400 ,EMPERORS,Opposition led by Santa Anna limited the reign of this country's Agustin I to 10 months
$800 ,THE 1800s,"Though the U.S. won the war, it still paid this country more than $18 million for the land it took in the 1840s"
"$1,200 ",HISTORY A LA JACK BAUER,"Mercader is going after Trotsky on Aug. 20, 1940!  I need the site!  In Coyoacan, in this country?  I'll be there in 20!"
$200 ,BIRD IS THE WORD,"The crested caracara, a type of falcon, is this country's national bird but is also found in Texas"
$600 ,IT HAPPENED ON DECEMBER 1,"Carlos Salinas was sworn in as president of this country Dec. 1, 1988; in 1998 he was living in Ireland"
$200 ,LANGUAGES,Mazarec is the language of the Mazarec people of Oaxaca in this country
$200 ,TREATIES,The Treaty of Guadalupe Hidalgo in 1848 ended the war between the U.S. & this country
$400 ,PIC THE CRITTER,"The <a href=""http://www.j-archive.com/media/2012-01-12_DJ_21.jpg"" target=""_blank"">axolotl</a> is a salamander from this country south of the border"
$200 ,THE SMALLEST IN AREA,"Mexico, the U.S., Canada"
"$1,600 ",YOU'VE BEEN EXILED,"During exile in the U.S. in 1915, ex-prez Victoriano Huerta of this country was thrown in prison"
$800 ,THE WORLD,Guinness says more people emigrate from this Latin country than any other in the world
$400 ,THIS ISLAND IS YOUR ISLAND,Cozumel
$200 ,WORLD GEOGRAPHY,Puerto Varas is in Chile & Puerto Vallarta is in this country
$800 ,CHEESY COUNTRIES,Oaxaca
$600 ,AMERICAN HISTORY,In 1834 Stephen Austin was held in prison for 8 months in this country
$800 ,PICK UP YOUR ORDER,The Order of the Aztec Eagle
$600 ,I KNOW YOU FROM SOMEWHERE,"If I wore my serape, it might refresh your memory of our meeting in Saltillo in this country"
$400 ,THE WORLD,"<a href=""http://www.j-archive.com/media/2007-07-12_DJ_26.jpg"" target=""_blank"">It's</a> home to close than 110 million people"
$200 ,CENTRAL AMERICAN HISTORY,"In 1823, 5 present Central American countries broke away from this nearby one"
$400 ,LANGUAGES,Nahuatl & Zapotec are Indian languages spoken mainly in this country
$600 ,STADIUMS BY COUNTRY,Estadio Azteca
"$1,200 ",AROUND THE WORLD,"In 1943 the Paricutin volcano in this country grew in a cornfield to be more than 1,100 feet tall"
$800 ,THEY USED TO BE IN CHARGE,Venustiano Carranza
$400 ,POTENT POTABLES,Tequila is named for a town near Guadalajara in this country
$200 ,AWARDS,Foreigners who give distinguished service to this country may receive the Order of the Aztec Eagle
$400 ,JUST DESERTS,"Part of the Chihuahuan Desert lies in Chihuahua, one of this country's most prosperous states"
$200 ,GOING WIRELESS,"Thanks to firms like Pegaso & Telemex, this country now has more cellular users than fixed line customers"
$100 ,LET'S DANCE,The Jarube Tehuano is a folk dance from this North American country
$800 ,WORLD HISTORY,More than a million died in this country's civil war that ended with the death of Carranza in 1920
$400 ,FLAGS OF THE WORLD,This Western Hemisphere nation's flag is seen here
$400 ,FORBES' BILLIONAIRES,Corona beer helped crown Maria Aramburuzabala the wealthiest woman in this country
$400 ,HORSE SMARTS,"A relatively new breed, the Azteca has become the national horse of this country"
$400 ,SECRETARY OF STATE HILLARY CLINTON,"(<a href=""http://www.j-archive.com/media/2009-10-05_J_12.jpg"" target=""_blank"">Madam Secretary Hillary Clinton delivers the clue.</a>) In March 2009 I got the chance to meet with a female counterpart, Foreign Secretary <a href=""http://www.j-archive.com/media/2009-10-05_J_12a.jpg"" target=""_blank"">Patricia Espinosa</a>, when I visited this country"
$400 ,2006 NEWS,"Lopez Obrador narrowly lost this country's presidency to Calderon--or vice versa, if you ask Lopez Obrador"
$400 ,COUNTRY DISTINCTIONS,This Western Hemisphere country has the most Spanish speakers of any country in the world
$800 ,WAR FICTION,"Jeff Shaara's ""Gone for Soldiers"" chronicles the 1846-48 U.S. war with this country"
$400 ,"""M""-A-NATIONS","This country calls an 1846 to 1848 military conflict ""The War of American Aggression"""
$100 ,THE LONE STAR STATE,"In 1836 at Washington-On-The-Brazos, Texas declared its independence from this country"
"$1,000 ",IT'S A TELEGRAM,"(<a href=""http://www.j-archive.com/media/2010-05-12_J_22.wmv"">Sarah of the Clue Crew reports from the National Archives in Washington, D.C.</a>)  Once deciphered, the Zimmerman telegram aided U.S. entry into World War I by enraging the public; Germany promised U.S. land to this country"
$100 ,JEOPARDY! PLACE,"Teri, still on the run with Emily's baby, crossed the border into this country which elected Vincente Fox in 2000"
$200 ,WORLD CITIES,The silver baron Jose de la Borda laid out the famous Borda Gardens in Cuernavaca in this country
None,THE WESTERN HEMISPHERE,This country won independence from Spain in 1821 & from France in 1867
$800 ,REACH FOR THE TOP,"This country's highest peak, Pico de Orizaba, lies on the border of the states of Veracruz & Puebla"
$400 ,CENTRAL AMERICA,In 1822-23 5 of the Central American countries were legally part of this North American country
$800 ,"RICH COUNTRY, POOR COUNTRY",More than 80% of its exports go to the U.S. & Canada; its trade with them has nearly tripled since 1994
$100 ,CITIES,Acapulco & Cancun
"$1,000 ",COUSTEAU,"Cousteau is seen <a href=""http://www.j-archive.com/media/2010-06-11_J_30.jpg"" target=""_blank"">here</a> in a moment of happiness on Isla Isabela, a bird haven off this country's state of Nayarit"
"$1,700 ",HAIL TO THE CHIEF,"In May 1846, 14 months after Polk took office, the U.S. declared war on this country"
$400 ,I NEED A VACATION,"My daughter's excited to see the monarch butterfly flocks at Morelia in this country, the No. 8 destination"
$200 ,ARTISTS' BIRTHPLACES,"Frida Kahlo, born to a Spanish-Native American mother & a Jewish father, hailed from this country"
$400 ,LITERATURE,"Malcolm Lowery's ""Under the Volcano"" is set mainly in this country"
$800 ,EMISSARY TO AMERICA,"Carlos de Icaza, ambassador from this country, attended the 2005 inauguration of the new mayor of Los Angeles"
$600 ,70 YEARS AGO: 1938,In 1938 this country nationalized its oil industry as PEMEX; in 2008 there was talk of privatization
$200 ,WORLD GEOGRAPHY,This country's Cancun resort lies on a barrier island once inhabited by Maya Indians
"$1,000 ",FINE,The beaches of Playa del Carmen in the Yucatan in this country are noted for the fineness of their sand
$200 ,INTERNATIONAL FOOD & DRINK,"Chihuahua cheese is a specialty of this country (don't worry -- it's made from cow's milk, not chihuahua's)"
$200 ,COUNTRIES BY NEWSPAPER,El Financiero & The Oaxaca Times
$800 ,SOUPS OF THE WORLD,Menudo
$200 ,WHERE DID MY MUSTACHE GO?,"The hairless miniature Xoloitzcuintli of this North American country wanted to <a href=""http://www.j-archive.com/media/2001-10-01_J_02.jpg"" target=""_blank"">look</a> macho"
"$1,000 ",19th CENTURY AMERICA,"Joel Poinsett, the 1st U.S. minister to this Latin American nation, opposed the war with it in 1846"
"$1,000 ",WRITERS ON THE MOVE,"In this country D.H. Lawrence started a novel called ""Quetzalcoatl"", later ""The Plumed Serpent"""
$800 ,DEEPWATER PORTS BY COUNTRY,"Manzanillo, Tampico"
$400 ,CRUISIN' THE CARIBBEAN,"You'll find life's a beach on Playa del Carmen, a popular stop in this country"
$100 ,HISTORY,In 1982 this country's president Jose Lopez Portillo devalued the peso & nationalized the banks
$400 ,TRAVEL & TOURISM,A cruise along this country's Riviera would include stops in Cabo San Lucas & Mazatlan
$400 ,PLAY SETTINGS,"This country is the setting for T. Williams' plays ""Camino Real"" & ""The Night of the Iguana"""
$600 ,HIGH WATER,In September & October 1999 much of this country's city of Villahermosa was under water
$300 ,COUNTRIES BY ORDER,Order of Our Lady of Guadalupe
$200 ,FOREIGN FILM COUNTRIES,"1992: ""Like Water for Chocolate"""
$200 ,THAT'S REVOLTING!,The Zapatistas
$200 ,HOLIDAYS & OBSERVANCES,On March 2 Texas celebrates its independence from this country
$800 ,AMERICAN HISTORY,"On May 13, 1846, President James K. Polk signed a declaration of war against this country"
$400 ,MOUNTAINS,The third highest peak in North America is in this third largest country in North America
$200 ,SEEMS LIKE LONG AGO,"Around 900 the Toltec leader ""Cloud Serpent"" sacked Teotihuacan in what's now this country"
$100 ,BEER COUNTRY OF ORIGIN,Corona
$600 ,ARTISTS,"Jose Orozco, a colleague of Diego Rivera, was one of this country's greatest muralists"
$400 ,HISTORIC NAMES,"Maximillian & Carlotta landed in this country on May 28, 1864"
